site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
CHINBROOK MEADOWS,FALSE,TRUE,58 mins,46 mins,1 hour 0 mins,1 hour 11 mins,33 mins,58.75,60.00,58.00,46.00,60.00,71.00,33.00,6002405,51.42897,0.028319,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6002405,,,,,,,,,,275,
BARTLETT PARK (TOWER HAMLETS),FALSE,TRUE,54 mins,47 mins,1 hour 8 mins,1 hour 6 mins,#ERROR!,58.75,60.00,54.00,47.00,68.00,66.00,#ERROR!,1040514,51.514789,-0.022019,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1040514,,,,,,,,,,276,
EASTLEA COMMUNITY SCHOOL,FALSE,TRUE,55 mins,50 mins,1 hour 8 mins,1 hour 2 mins,30 mins,58.75,60.00,55.00,50.00,68.00,62.00,30.00,1200963,51.52297,0.009931,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1200963,,,,,,,,,,277,
SIDCUP YOUTH CENTRE,FALSE,FALSE,1 hour 0 mins,48 mins,1 hour 1 min,1 hour 6 mins,35 mins,58.75,60.00,60.00,48.00,61.00,66.00,35.00,1202219,51.438179,0.104122,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1202219,,,,,,,,,,278,
SOUTHBOROUGH HIGH SCHOOL GRASS PITCHES,FALSE,TRUE,52 mins,1 hour 2 mins,54 mins,1 hour 7 mins,49 mins,58.75,60.00,52.00,62.00,54.00,67.00,49.00,1042308,51.378162,-0.305016,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1042308,,,,,,,,,,279,
BROOM ROAD RECREATION GROUND,FALSE,TRUE,56 mins,1 hour 3 mins,51 mins,1 hour 6 mins,1 hour 1 min,59.00,60.00,56.00,63.00,51.00,66.00,61.00,6004109,51.42224,-0.309968,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6004109,,,,,,,,,,280,
WESTMINSTER FIELDS,FALSE,TRUE,59 mins,48 mins,1 hour 1 min,1 hour 9 mins,34 mins,59.25,60.00,59.00,48.00,61.00,69.00,34.00,1044938,51.425552,0.01815,FALSE,FALSE,3,0,0,https://pitchfinder.org.uk/map/site/1044938,,,,,,,,,,281,
LONDON SCHOOL OF ECONOMICS SPORTS GROUND,FALSE,TRUE,1 hour 2 mins,56 mins,51 mins,1 hour 8 mins,59 mins,59.25,60.00,62.00,56.00,51.00,68.00,59.00,1200781,51.393312,-0.270709,TRUE,TRUE,8,0,0,https://pitchfinder.org.uk/map/site/1200781,,,,,,,,,,282,
FIRHILL ROAD RECREATION GROUND,TRUE,TRUE,1 hour 1 min,54 mins,47 mins,1 hour 16 mins,35 mins,59.50,60.00,61.00,54.00,47.00,76.00,35.00,6006177,51.431008,-0.028566,FALSE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6006177,,,,,,,,,,283,
LYLE PARK,FALSE,TRUE,53 mins,45 mins,1 hour 16 mins,1 hour 4 mins,31 mins,59.50,60.00,53.00,45.00,76.00,64.00,31.00,6009894,51.501667,0.024555,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6009894,,,,,,,,,,284,
THE CITY OF LONDON ACADEMY (SOUTHWALK),FALSE,TRUE,46 mins,39 mins,37 mins,48 mins,20 mins,42.50,40.00,46.00,39.00,37.00,48.00,20.00,1007722,51.489226,-0.0647,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1007722,,,Y,Y,,Available (Games),90x50m new 3G pitch <12m old. 30mins walk from London Bridge. Very close to bermondsey mile breweries etc. Decent school changing facilities and showers etc. Very keen to have us. £130/hr.,Available Saturday afternoons and Sunday mornings. Not available mid-week. Week day available next year.,Ridings,47,https://i.imgur.com/qVgvm4Y.jpeg
BLACKHEATH HOCKEY AND CATFORD & CYPHERS CRICKET CLUB,TRUE,TRUE,58 mins,51 mins,1 hour 13 mins,57 mins,35 mins,59.75,60.00,58.00,51.00,73.00,57.00,35.00,1040622,51.435367,-0.030591,TRUE,FALSE,2,0,0,https://pitchfinder.org.uk/map/site/1040622,,,,,,,,,,285,
WILSONS SCHOOL,FALSE,TRUE,1 hour 4 mins,1 hour 7 mins,48 mins,1 hour 0 mins,42 mins,59.75,60.00,64.00,67.00,48.00,60.00,42.00,1201235,51.358845,-0.128086,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1201235,,,,,,,,,,286,
THE GREEN SCHOOL,FALSE,TRUE,1 hour 2 mins,55 mins,1 hour 1 min,1 hour 1 min,1 hour 9 mins,59.75,60.00,62.00,55.00,61.00,61.00,69.00,1200479,51.479116,-0.324943,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1200479,,,,,,,,,,287,
CITY OF LONDON SCHOOL SPORTS GROUND,FALSE,TRUE,57 mins,51 mins,1 hour 4 mins,1 hour 8 mins,37 mins,60.00,60.00,57.00,51.00,64.00,68.00,37.00,1011535,51.434001,0.03205,TRUE,FALSE,5,0,0,https://pitchfinder.org.uk/map/site/1011535,,,,,,,,,,288,
DINTON FIELD,TRUE,TRUE,53 mins,1 hour 11 mins,51 mins,1 hour 6 mins,1 hour 1 min,60.25,60.00,53.00,71.00,51.00,66.00,61.00,6020753,51.422122,-0.292438,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6020753,,,,,,,,,,289,
SCORE LEISURE CENTRE,TRUE,TRUE,54 mins,50 mins,1 hour 12 mins,1 hour 5 mins,38 mins,60.25,60.00,54.00,50.00,72.00,65.00,38.00,1008564,51.559988,-0.014088,TRUE,TRUE,0,0,0,https://pitchfinder.org.uk/map/site/1008564,,,,,,,,,,290,
MARBLE HILL PARK,FALSE,TRUE,53 mins,57 mins,1 hour 9 mins,1 hour 2 mins,51 mins,60.25,60.00,53.00,57.00,69.00,62.00,51.00,6009207,51.449944,-0.312044,TRUE,TRUE,7,0,0,https://pitchfinder.org.uk/map/site/6009207,,,,,,,,,,291,
FORSTER MEMORIAL PARK,TRUE,TRUE,1 hour 4 mins,1 hour 4 mins,53 mins,1 hour 1 min,48 mins,60.50,60.00,64.00,64.00,53.00,61.00,48.00,6002398,51.432219,-0.007132,FALSE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6002398,,,,,,,,,,292,
RICHARDSON EVANS MEMORIAL PLAYING FIELDS,TRUE,TRUE,1 hour 2 mins,1 hour 1 min,56 mins,1 hour 3 mins,54 mins,60.50,60.00,62.00,61.00,56.00,63.00,54.00,1202483,51.436024,-0.249975,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1202483,,,,,,,,,,293,
EDGEHILL PLAYING FIELDS,TRUE,FALSE,1 hour 14 mins,1 hour 2 mins,48 mins,1 hour 0 mins,43 mins,61.00,60.00,74.00,62.00,48.00,60.00,43.00,1041206,51.345371,-0.116642,FALSE,FALSE,5,0,0,https://pitchfinder.org.uk/map/site/1041206,,,,,,,,,,294,
THOMAS TALLIS SCHOOL,FALSE,TRUE,55 mins,48 mins,1 hour 7 mins,1 hour 15 mins,41 mins,61.25,60.00,55.00,48.00,67.00,75.00,41.00,1045662,51.465648,0.024737,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1045662,,,,,,,,,,295,
BATTERSEA ALL WEATHER SPORTS GROUND,FALSE,TRUE,47 mins,37 mins,50 mins,48 mins,37 mins,45.50,50.00,47.00,37.00,50.00,48.00,37.00,1039318,51.476268,-0.159701,FALSE,TRUE,0,2,2,https://pitchfinder.org.uk/map/site/1039318,,,,Y,,Enquiring,"Good turf, not 3G.",Emailed 28/07,Ridings V2,98,https://enablelc.org/wp-content/uploads/2016/02/08.jpg
WALLINGTON SPORTS & SOCIAL CLUB,TRUE,TRUE,1 hour 4 mins,1 hour 9 mins,50 mins,1 hour 2 mins,44 mins,61.25,60.00,64.00,69.00,50.00,62.00,44.00,1040486,51.357901,-0.131517,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1040486,,,,,,,,,,296,
RICHMOND UPON THAMES COLLEGE,FALSE,TRUE,49 mins,55 mins,1 hour 11 mins,1 hour 10 mins,53 mins,61.25,60.00,49.00,55.00,71.00,70.00,53.00,1007951,51.451435,-0.342383,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1007951,,,,,,,,,,297,
BLACKHEATH,FALSE,FALSE,52 mins,45 mins,1 hour 4 mins,1 hour 26 mins,28 mins,61.75,60.00,52.00,45.00,64.00,86.00,28.00,6002397,51.471328,0.004493,TRUE,TRUE,10,0,0,https://pitchfinder.org.uk/map/site/6002397,,,,,,,,,,298,
WELL STREET COMMON,FALSE,FALSE,1 hour 0 mins,1 hour 1 min,1 hour 6 mins,1 hour 0 mins,41 mins,61.75,60.00,60.00,61.00,66.00,60.00,41.00,1039905,51.541523,-0.044563,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1039905,,,,,,,,,,299,
GLADSTONE PARK,TRUE,TRUE,1 hour 2 mins,54 mins,1 hour 8 mins,1 hour 3 mins,44 mins,61.75,60.00,62.00,54.00,68.00,63.00,44.00,1202801,51.55977,-0.239634,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202801,,,,,,,,,,300,
SHIRLEY HIGH SCHOOL,FALSE,TRUE,1 hour 11 mins,1 hour 3 mins,53 mins,1 hour 1 min,44 mins,62.00,60.00,71.00,63.00,53.00,61.00,44.00,1200370,51.369521,-0.049322,TRUE,FALSE,2,0,0,https://pitchfinder.org.uk/map/site/1200370,,,,,,,,,,301,
ROEHAMPTON UNIVERSITY PLAYING FIELD,FALSE,TRUE,1 hour 0 mins,1 hour 6 mins,1 hour 1 min,1 hour 1 min,53 mins,62.00,60.00,60.00,66.00,61.00,61.00,53.00,1042109,51.44853,-0.244892,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1042109,,,,,,,,,,302,
CANNING TOWN RECREATION GROUND,FALSE,FALSE,59 mins,54 mins,1 hour 2 mins,1 hour 13 mins,38 mins,62.00,60.00,59.00,54.00,62.00,73.00,38.00,6009891,51.515787,0.029932,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6009891,,,,,,,,,,303,
BOWRING GROUP SPORTS CENTRE,TRUE,TRUE,57 mins,50 mins,1 hour 9 mins,1 hour 14 mins,31 mins,62.50,60.00,57.00,50.00,69.00,74.00,31.00,30007591,51.457293,0.014562,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/30007591,,,,,,,,,,304,
ALEXANDRA RECREATION GROUND,FALSE,TRUE,1 hour 3 mins,1 hour 8 mins,55 mins,1 hour 4 mins,51 mins,62.50,60.00,63.00,68.00,55.00,64.00,51.00,1202973,51.385991,-0.28747,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202973,,,,,,,,,,305,
VICTORIA PARK (HACKNEY),TRUE,TRUE,1 hour 1 min,58 mins,1 hour 8 mins,1 hour 4 mins,49 mins,62.75,60.00,61.00,58.00,68.00,64.00,49.00,6021082,51.540453,-0.033124,TRUE,TRUE,11,0,0,https://pitchfinder.org.uk/map/site/6021082,,,,,,,,,,306,
NPL SPORTS CLUB,TRUE,TRUE,1 hour 0 mins,1 hour 9 mins,54 mins,1 hour 8 mins,1 hour 3 mins,62.75,60.00,60.00,69.00,54.00,68.00,63.00,6005350,51.421212,-0.335701,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6005350,,,,,,,,,,307,
CROFTON COUNTRY CLUB (CROFTON ALBION),TRUE,TRUE,57 mins,50 mins,1 hour 9 mins,1 hour 16 mins,36 mins,63.00,60.00,57.00,50.00,69.00,76.00,36.00,6011813,51.458184,0.01903,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6011813,,,,,,,,,,308,
MELLOWS PARK,FALSE,FALSE,59 mins,1 hour 3 mins,51 mins,1 hour 19 mins,49 mins,63.00,60.00,59.00,63.00,51.00,79.00,49.00,6002167,51.36052,-0.134027,TRUE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/6002167,,,,,,,,,,309,
THE MEMORIAL GROUND,TRUE,TRUE,1 hour 5 mins,58 mins,1 hour 5 mins,1 hour 4 mins,1 hour 12 mins,63.00,60.00,65.00,58.00,65.00,64.00,72.00,6009751,51.477286,-0.334821,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6009751,,,,,,,,,,310,
JOHN RUSKIN PLAYING FIELD,FALSE,TRUE,1 hour 13 mins,1 hour 3 mins,52 mins,1 hour 5 mins,48 mins,63.25,60.00,73.00,63.00,52.00,65.00,48.00,1202778,51.366064,-0.066567,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1202778,,,,,,,,,,311,
YMCA (HAWKER),TRUE,TRUE,59 mins,1 hour 7 mins,54 mins,1 hour 13 mins,1 hour 3 mins,63.25,60.00,59.00,67.00,54.00,73.00,63.00,1002289,51.426921,-0.309213,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1002289,,,,,,,,,,312,
CHILDS HILL PARK,TRUE,TRUE,1 hour 1 min,54 mins,1 hour 18 mins,1 hour 0 mins,43 mins,63.25,60.00,61.00,54.00,78.00,60.00,43.00,1202956,51.567426,-0.200755,FALSE,FALSE,0,0,0,https://pitchfinder.org.uk/map/site/1202956,,,,,,,,,,313,
TWYFORD C OF E HIGH SCHOOL,FALSE,TRUE,1 hour 4 mins,55 mins,1 hour 11 mins,1 hour 4 mins,48 mins,63.50,60.00,64.00,55.00,71.00,64.00,48.00,1042775,51.509647,-0.277994,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1042775,,,,,,,,,,314,
QUEENS PARK COMMUNITY SCHOOL,FALSE,TRUE,1 hour 3 mins,59 mins,1 hour 10 mins,1 hour 3 mins,45 mins,63.75,60.00,63.00,59.00,70.00,63.00,45.00,1200757,51.540503,-0.2186,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1200757,,,,,,,,,,315,
CHISLEHURST SPORTS AND COUNTRY CLUB,FALSE,TRUE,1 hour 4 mins,54 mins,1 hour 7 mins,1 hour 12 mins,39 mins,64.25,60.00,64.00,54.00,67.00,72.00,39.00,6002395,51.421119,0.04779,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6002395,,,,,,,,,,316,
KENSINGTON MEMORIAL PARK,FALSE,TRUE,1 hour 8 mins,55 mins,1 hour 10 mins,1 hour 4 mins,46 mins,64.25,60.00,68.00,55.00,70.00,64.00,46.00,6002451,51.520931,-0.220211,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6002451,,,,,,,,,,317,
HACKNEY DOWNS,TRUE,TRUE,1 hour 8 mins,1 hour 2 mins,1 hour 6 mins,1 hour 1 min,39 mins,64.25,60.00,68.00,62.00,66.00,61.00,39.00,6011878,51.554075,-0.061127,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/6011878,,,,,,,,,,318,
AURIOL PARK,TRUE,TRUE,50 mins,1 hour 15 mins,1 hour 2 mins,1 hour 10 mins,1 hour 2 mins,64.25,60.00,50.00,75.00,62.00,70.00,62.00,6002933,51.370401,-0.256584,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/6002933,,,,,,,,,,319,
IBSTOCK PLACE SCHOOL,FALSE,TRUE,1 hour 3 mins,1 hour 9 mins,1 hour 3 mins,1 hour 3 mins,1 hour 20 mins,64.50,60.00,63.00,69.00,63.00,63.00,80.00,1036598,51.454735,-0.253405,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1036598,,,,,,,,,,320,
ELTHAM TOWN FOOTBALL CLUB,TRUE,TRUE,1 hour 1 min,50 mins,1 hour 3 mins,1 hour 24 mins,36 mins,64.50,60.00,61.00,50.00,63.00,84.00,36.00,1039874,51.44281,0.062025,TRUE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/1039874,,,,,,,,,,321,
RIVERSIDE LANDS PLAYING FIELDS,TRUE,TRUE,1 hour 3 mins,56 mins,1 hour 7 mins,1 hour 12 mins,1 hour 4 mins,64.50,60.00,63.00,56.00,67.00,72.00,64.00,30005701,51.473229,-0.263172,TRUE,TRUE,17,0,0,https://pitchfinder.org.uk/map/site/30005701,,,,,,,,,,322,
THE ELLEN WILKINSON SCHOOL FOR GIRLS,FALSE,TRUE,1 hour 2 mins,1 hour 2 mins,1 hour 9 mins,1 hour 5 mins,47 mins,64.50,60.00,62.00,62.00,69.00,65.00,47.00,1203184,51.516377,-0.287527,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1203184,,,,,,,,,,323,
OAKS PARK HIGH SCHOOL,FALSE,TRUE,1 hour 1 min,1 hour 9 mins,52 mins,1 hour 17 mins,1 hour 9 mins,64.75,60.00,61.00,69.00,52.00,77.00,69.00,1044807,51.346156,-0.166713,TRUE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1044807,,,,,,,,,,324,
WIBBANDUNE SPORTS GROUND,TRUE,TRUE,52 mins,56 mins,1 hour 16 mins,1 hour 24 mins,1 hour 13 mins,67.00,70.00,52.00,56.00,76.00,84.00,73.00,30003048,51.421663,-0.252121,TRUE,TRUE,10,0,1,https://pitchfinder.org.uk/map/site/30003048,,,,,,,,,,325,
ARK ELVIN ACADEMY,FALSE,TRUE,54 mins,1 hour 3 mins,1 hour 20 mins,1 hour 9 mins,51 mins,66.50,70.00,54.00,63.00,80.00,69.00,51.00,1200524,51.55317,-0.290314,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1200524,,,,,,,,,,326,
ERIC LIDDELL SPORTS CENTRE,FALSE,TRUE,58 mins,51 mins,1 hour 12 mins,1 hour 20 mins,33 mins,65.25,70.00,58.00,51.00,72.00,80.00,33.00,1002145,51.437817,0.040369,TRUE,TRUE,0,4,4,https://pitchfinder.org.uk/map/site/1002145,,,,,,,,,,327,
KIDBROOKE PLAYING FIELDS,TRUE,TRUE,59 mins,1 hour 4 mins,1 hour 11 mins,1 hour 19 mins,#ERROR!,68.25,70.00,59.00,64.00,71.00,79.00,#ERROR!,1103248,51.467237,0.031932,TRUE,TRUE,12,1,1,https://pitchfinder.org.uk/map/site/1103248,,,,,,,,,,328,
HMP BELMARSH,FALSE,TRUE,1 hour 6 mins,1 hour 5 mins,1 hour 17 mins,1 hour 17 mins,44 mins,71.25,70.00,66.00,65.00,77.00,77.00,44.00,30007441,51.496846,0.092704,TRUE,FALSE,0,3,0,https://pitchfinder.org.uk/map/site/30007441,,,,,,,,,,329,
FEEL GOOD TOO CENTRE (IVE FARM),FALSE,TRUE,1 hour 0 mins,52 mins,1 hour 17 mins,1 hour 12 mins,44 mins,65.25,70.00,60.00,52.00,77.00,72.00,44.00,1011469,51.563097,-0.021383,TRUE,TRUE,0,2,2,https://pitchfinder.org.uk/map/site/1011469,,,,,,,,,,330,
UNIVERSITY OF GREENWICH (AVERY HILL),FALSE,TRUE,1 hour 2 mins,56 mins,1 hour 9 mins,1 hour 13 mins,37 mins,65.00,70.00,62.00,56.00,69.00,73.00,37.00,1014643,51.446182,0.080965,TRUE,TRUE,0,2,2,https://pitchfinder.org.uk/map/site/1014643,,,,,,,,,,331,
HARRIS ACADEMY FALCONWOOD,FALSE,TRUE,1 hour 2 mins,55 mins,1 hour 14 mins,1 hour 20 mins,38 mins,67.75,70.00,62.00,55.00,74.00,80.00,38.00,1200730,51.458793,0.08837,TRUE,TRUE,2,1,1,https://pitchfinder.org.uk/map/site/1200730,,,,,,,,,,332,
SAMUEL MONTAGU YOUTH CENTRE,TRUE,TRUE,1 hour 2 mins,1 hour 7 mins,1 hour 14 mins,1 hour 21 mins,45 mins,71.00,70.00,62.00,67.00,74.00,81.00,45.00,6011947,51.467149,0.039966,TRUE,TRUE,4,1,1,https://pitchfinder.org.uk/map/site/6011947,,,,,,,,,,333,
EPSOM & EWELL HIGH SCHOOL,FALSE,TRUE,1 hour 3 mins,1 hour 17 mins,1 hour 13 mins,1 hour 13 mins,1 hour 22 mins,71.50,70.00,63.00,77.00,73.00,73.00,82.00,1003185,51.363082,-0.27393,TRUE,TRUE,1,2,2,https://pitchfinder.org.uk/map/site/1003185,,,,,,,,,,334,
LISTER COMMUNITY SCHOOL (SOUTHERN ROAD PLAYING FIELDS),TRUE,TRUE,1 hour 3 mins,53 mins,1 hour 12 mins,1 hour 14 mins,40 mins,65.50,70.00,63.00,53.00,72.00,74.00,40.00,1203177,51.529673,0.029589,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1203177,,,,,,,,,,335,
SPOTTED DOG GROUND,TRUE,TRUE,1 hour 3 mins,59 mins,1 hour 17 mins,1 hour 13 mins,47 mins,68.00,70.00,63.00,59.00,77.00,73.00,47.00,6021001,51.541983,0.022869,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/6021001,,,,,,,,,,336,
STATIONERS CROWN WOODS ACADEMY,FALSE,TRUE,1 hour 6 mins,1 hour 6 mins,1 hour 17 mins,1 hour 23 mins,43 mins,73.00,70.00,66.00,66.00,77.00,83.00,43.00,1037848,51.453394,0.075774,TRUE,TRUE,2,1,3,https://pitchfinder.org.uk/map/site/1037848,,,,,,,,,,337,
CLUB DES SPORTS,TRUE,TRUE,1 hour 7 mins,1 hour 4 mins,1 hour 13 mins,1 hour 8 mins,51 mins,68.00,70.00,67.00,64.00,73.00,68.00,51.00,1003040,51.509706,-0.256477,TRUE,TRUE,1,4,4,https://pitchfinder.org.uk/map/site/1003040,,,,,,,,,,338,
GUNNERSBURY PARK SPORTS HUB,TRUE,TRUE,1 hour 7 mins,58 mins,1 hour 14 mins,1 hour 7 mins,51 mins,66.50,70.00,67.00,58.00,74.00,67.00,51.00,30008872,51.498614,-0.29173,FALSE,TRUE,9,2,2,https://pitchfinder.org.uk/map/site/30008872,,,,,,,,,,339,
TWYFORD AVENUE SPORTS GROUND,FALSE,TRUE,1 hour 7 mins,1 hour 2 mins,1 hour 14 mins,1 hour 7 mins,51 mins,67.50,70.00,67.00,62.00,74.00,67.00,51.00,30010141,51.511247,-0.279217,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/30010141,,,,,,,,,,340,
THE PAVILION AT STONEBRIDGE RECREATION GROUND,TRUE,TRUE,1 hour 8 mins,1 hour 4 mins,1 hour 20 mins,1 hour 10 mins,54 mins,70.50,70.00,68.00,64.00,80.00,70.00,54.00,1103271,51.541064,-0.266296,TRUE,TRUE,0,2,2,https://pitchfinder.org.uk/map/site/1103271,,,,,,,,,,341,
UNIVERSITY COLLEGE SCHOOL PLAYING FIELDS,FALSE,TRUE,1 hour 8 mins,1 hour 2 mins,1 hour 5 mins,1 hour 5 mins,46 mins,65.00,70.00,68.00,62.00,65.00,65.00,46.00,1201684,51.556563,-0.20346,TRUE,TRUE,8,1,1,https://pitchfinder.org.uk/map/site/1201684,,,,,,,,,,342,
GRASSHOPPERS RFC,FALSE,TRUE,1 hour 8 mins,1 hour 2 mins,1 hour 8 mins,1 hour 8 mins,1 hour 8 mins,66.50,70.00,68.00,62.00,68.00,68.00,68.00,30007656,51.486858,-0.336395,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/30007656,,,,,,,,,,343,
BLACKHEATH HIGH SCHOOL SPORTS GROUND,FALSE,TRUE,1 hour 8 mins,1 hour 2 mins,1 hour 27 mins,1 hour 15 mins,40 mins,73.00,70.00,68.00,62.00,87.00,75.00,40.00,6011819,51.467237,0.0243,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/6011819,,,,,,,,,,344,
ALWYN GARDENS SPORTS GROUND,TRUE,TRUE,1 hour 9 mins,1 hour 2 mins,1 hour 10 mins,1 hour 4 mins,46 mins,66.25,70.00,69.00,62.00,70.00,64.00,46.00,6021701,51.518072,-0.273713,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/6021701,,,,,,,,,,345,
HOLMESDALE FOOTBALL CLUB,TRUE,TRUE,1 hour 9 mins,1 hour 15 mins,1 hour 16 mins,1 hour 13 mins,50 mins,73.25,70.00,69.00,75.00,76.00,73.00,50.00,1202564,51.374566,0.038092,TRUE,TRUE,1,0,1,https://pitchfinder.org.uk/map/site/1202564,,,,,,,,,,346,
MERIDIAN SPORTS AND SOCIAL CLUB LTD,TRUE,TRUE,1 hour 10 mins,1 hour 8 mins,1 hour 20 mins,1 hour 18 mins,43 mins,74.00,70.00,70.00,68.00,80.00,78.00,43.00,1103251,51.479013,0.046622,TRUE,TRUE,7,1,2,https://pitchfinder.org.uk/map/site/1103251,,,,,,,,,,347,
ST AUGUSTINE'S PRIORY,FALSE,TRUE,1 hour 12 mins,1 hour 6 mins,1 hour 15 mins,1 hour 7 mins,53 mins,70.00,70.00,72.00,66.00,75.00,67.00,53.00,1038229,51.523613,-0.293468,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1038229,,,,,,,,,,348,
KINGSFORD COMMUNITY SCHOOL,FALSE,TRUE,1 hour 12 mins,1 hour 6 mins,1 hour 20 mins,1 hour 19 mins,47 mins,74.25,70.00,72.00,66.00,80.00,79.00,47.00,1008334,51.514386,0.055371,TRUE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1008334,,,,,,,,,,349,
RAVENS WOOD SCHOOL,FALSE,TRUE,1 hour 14 mins,1 hour 11 mins,1 hour 11 mins,1 hour 18 mins,40 mins,73.50,70.00,74.00,71.00,71.00,78.00,40.00,1002373,51.369442,0.035642,TRUE,FALSE,1,1,1,https://pitchfinder.org.uk/map/site/1002373,,,,,,,,,,350,
MABLEY GREEN,TRUE,TRUE,1 hour 15 mins,56 mins,1 hour 11 mins,1 hour 7 mins,51 mins,67.25,70.00,75.00,56.00,71.00,67.00,51.00,1035978,51.548934,-0.031575,TRUE,TRUE,6,2,2,https://pitchfinder.org.uk/map/site/1035978,,,,,,,,,,351,
FALCON PARK,TRUE,TRUE,43 mins,25 mins,45 mins,50 mins,53 mins,40.75,40.00,43.00,25.00,45.00,50.00,53.00,1069942,51.469981,-0.1659,FALSE,TRUE,0,1,1,https://pitchfinder.org.uk/map/site/1069942,,,,Y,,Too Small (Training option),"75x50m, 3G",Might be a good training option.,Jack,42,
ALPERTON SPORTS GROUND,FALSE,FALSE,1 hour 16 mins,1 hour 9 mins,1 hour 18 mins,1 hour 10 mins,54 mins,73.25,70.00,76.00,69.00,78.00,70.00,54.00,1040066,51.535175,-0.303244,FALSE,TRUE,2,0,1,https://pitchfinder.org.uk/map/site/1040066,,,,,,,,,,352,
NEWHAM LEISURE CENTRE,TRUE,TRUE,1 hour 17 mins,1 hour 0 mins,1 hour 11 mins,1 hour 11 mins,43 mins,69.75,70.00,77.00,60.00,71.00,71.00,43.00,1002353,51.518686,0.036178,TRUE,TRUE,1,3,4,https://pitchfinder.org.uk/map/site/1002353,,,,,,,,,,353,
MONKS HILL SPORTS CENTRE,FALSE,TRUE,1 hour 17 mins,1 hour 4 mins,53 mins,1 hour 6 mins,52 mins,65.00,70.00,77.00,64.00,53.00,66.00,52.00,30003761,51.351316,-0.04965,TRUE,TRUE,1,3,3,https://pitchfinder.org.uk/map/site/30003761,,,,,,,,,,354,
