site_name,ff_funded,has_changing_rooms,Travel from Tooting,Travel from Clapham South,Travel from Streatham,Travel from Tulse Hill,Travel from London Bridge,Average Travel Time,Rounded Travel Time,Travel from Tooting (mins),Travel from Clapham South (mins),Travel from Streatham (mins),Travel from Tulse Hill (mins),Travel from London Bridge (mins),id,lat,lng,has_parking,is_publicly_bookable,number_grass_pitches,number_artificial_pitches,number_floodlit_pitches,Link,JC Shortlist,AI Shortlist,AH Shortlist,TR Shortlist,Exclude,Status,Notes,Extra notes,Who,rank,Image
WANDSWORTH PARK,FALSE,TRUE,37 mins,40 mins,55 mins,1 hour 4 mins,44 mins,49.00,50.00,37.00,40.00,55.00,64.00,44.00,6015193,51.462312,-0.204305,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6015193,,,,,,,,,,145,
TUFNELL PARK PLAYING FIELDS,FALSE,TRUE,51 mins,42 mins,54 mins,49 mins,31 mins,49.00,50.00,51.00,42.00,54.00,49.00,31.00,6003205,51.557779,-0.133406,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6003205,,,,,,,,,,146,
CRYSTAL PALACE NATIONAL SPORTS CENTRE,FALSE,TRUE,37 mins,32 mins,29 mins,44 mins,36 mins,35.50,40.00,37.00,32.00,29.00,44.00,36.00,1002141,51.418999,-0.067769,TRUE,TRUE,1,4,4,https://pitchfinder.org.uk/map/site/1002141,,Y,Y,Y,,Unsuitable (terms),Sand-based 90x50m. Awesome sports facilities.,28 day cancelation policy. Bad reviews of the facilities.,Alice,39,
FULHAM FC TRAINING GROUND,TRUE,TRUE,37 mins,45 mins,42 mins,52 mins,49 mins,44.00,40.00,37.00,45.00,42.00,52.00,49.00,1103274,51.392201,-0.246171,TRUE,FALSE,6,2,3,https://pitchfinder.org.uk/map/site/1103274,,,,,,Unsuitable ,Fulham Football Ground,,Jack,40,
AFC CROYDON ATHLETIC TRAINING GROUND,FALSE,TRUE,45 mins,59 mins,39 mins,54 mins,50 mins,49.25,50.00,45.00,59.00,39.00,54.00,50.00,1041285,51.393378,-0.126305,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1041285,,,,,,,,,,147,
OLD DEER PARK,FALSE,TRUE,38 mins,44 mins,1 hour 0 mins,55 mins,45 mins,49.25,50.00,38.00,44.00,60.00,55.00,45.00,1202537,51.464844,-0.310587,TRUE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/1202537,,,,,,,,,,148,
FAIRFIELD RECREATION GROUND,FALSE,TRUE,45 mins,52 mins,43 mins,58 mins,53 mins,49.50,50.00,45.00,52.00,43.00,58.00,53.00,1202978,51.408505,-0.299053,FALSE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/1202978,,,,,,,,,,149,
VICTORIA RECREATION GROUND (SURBITON),FALSE,TRUE,41 mins,51 mins,47 mins,59 mins,52 mins,49.50,50.00,41.00,51.00,47.00,59.00,52.00,1202981,51.388888,-0.314837,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1202981,,,,,,,,,,150,
COOMBE BOYS SCHOOL,FALSE,TRUE,47 mins,48 mins,47 mins,57 mins,53 mins,49.75,50.00,47.00,48.00,47.00,57.00,53.00,1200383,51.395435,-0.247059,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1200383,,,,,,,,,,151,
KINGS FIELD,FALSE,TRUE,48 mins,51 mins,43 mins,57 mins,53 mins,49.75,50.00,48.00,51.00,43.00,57.00,53.00,30004669,51.411124,-0.312485,FALSE,TRUE,5,0,0,https://pitchfinder.org.uk/map/site/30004669,,,,,,,,,,152,
ST CATHERINES PLAYING FIELDS,FALSE,TRUE,38 mins,38 mins,52 mins,1 hour 13 mins,53 mins,50.25,50.00,38.00,38.00,52.00,73.00,53.00,30004856,51.395918,-0.227649,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/30004856,,,,,,,,,,153,
OVERTON GRANGE SCHOOL,FALSE,TRUE,54 mins,42 mins,39 mins,1 hour 8 mins,1 hour 14 mins,50.75,50.00,54.00,42.00,39.00,68.00,74.00,1007950,51.352217,-0.195682,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1007950,,,,,,,,,,154,
SYDENHAM SPORTS GROUND,TRUE,TRUE,56 mins,50 mins,51 mins,48 mins,30 mins,51.25,50.00,56.00,50.00,51.00,48.00,30.00,1039306,51.421907,-0.038266,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/1039306,,,,,,,,,,155,
CRYSTAL PALACE FC TRAINING GROUND,FALSE,TRUE,56 mins,50 mins,51 mins,48 mins,30 mins,51.25,50.00,56.00,50.00,51.00,48.00,30.00,30003615,51.418502,-0.030619,TRUE,FALSE,3,0,0,https://pitchfinder.org.uk/map/site/30003615,,,,,,,,,,156,
LLOYD PARK,FALSE,TRUE,1 hour 2 mins,51 mins,40 mins,52 mins,39 mins,51.25,50.00,62.00,51.00,40.00,52.00,39.00,6015645,51.364526,-0.079362,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6015645,,,,,,,,,,157,
NEWLAND ACADEMY,FALSE,TRUE,47 mins,59 mins,51 mins,49 mins,34 mins,51.50,50.00,47.00,59.00,51.00,49.00,34.00,1051978,51.458771,-0.049679,FALSE,FALSE,1,0,0,https://pitchfinder.org.uk/map/site/1051978,,,,,,,,,,158,
OLD WIMBLEDONIANS ASSOCIATION,TRUE,TRUE,41 mins,45 mins,1 hour 5 mins,55 mins,47 mins,51.50,50.00,41.00,45.00,65.00,55.00,47.00,1040921,51.410976,-0.241312,TRUE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1040921,,,,,,,,,,159,
MEATH GARDENS,FALSE,FALSE,46 mins,41 mins,1 hour 3 mins,57 mins,30 mins,51.75,50.00,46.00,41.00,63.00,57.00,30.00,1040517,51.528182,-0.043073,FALSE,TRUE,1,0,0,https://pitchfinder.org.uk/map/site/1040517,,,,,,,,,,160,
OVERTON PARK,FALSE,TRUE,48 mins,47 mins,42 mins,1 hour 10 mins,1 hour 21 mins,51.75,50.00,48.00,47.00,42.00,70.00,81.00,6002153,51.351196,-0.200016,TRUE,TRUE,4,0,0,https://pitchfinder.org.uk/map/site/6002153,,,,,,,,,,161,
CATFORD WANDERERS SPORTS CLUB,TRUE,TRUE,58 mins,52 mins,47 mins,51 mins,43 mins,52.00,50.00,58.00,52.00,47.00,51.00,43.00,6006199,51.426703,-0.01327,TRUE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6006199,,,,,,,,,,162,
DEPTFORD PARK,TRUE,TRUE,55 mins,47 mins,46 mins,1 hour 0 mins,31 mins,52.00,50.00,55.00,47.00,46.00,60.00,31.00,6002399,51.486628,-0.039348,FALSE,TRUE,2,0,0,https://pitchfinder.org.uk/map/site/6002399,,,,,,,,,,163,
WARREN AVENUE PLAYING FIELDS,TRUE,TRUE,59 mins,52 mins,48 mins,49 mins,44 mins,52.00,50.00,59.00,52.00,48.00,49.00,44.00,6021335,51.414357,-0.002761,TRUE,TRUE,6,0,0,https://pitchfinder.org.uk/map/site/6021335,,,,,,,,,,164,
HONOR OAK SPORTS GROUND,FALSE,FALSE,59 mins,45 mins,50 mins,55 mins,26 mins,52.25,50.00,59.00,45.00,50.00,55.00,26.00,6019121,51.452946,-0.04549,FALSE,TRUE,3,0,0,https://pitchfinder.org.uk/map/site/6019121,,,,,,,,,,165,
